artista,id_artista,perfil,seguidores,popularidade,generos,imagem
Olivia Rodrigo,1McMsnEElThX1knmY4oliG,https://open.spotify.com/artist/1McMsnEElThX1knmY4oliG,40744539,89,['pop'],https://i.scdn.co/image/ab6761610000e5ebe03a98785f3658f0b6461ec4
Miley Cyrus,5YGY8feqx7naU7z4HrwZM6,https://open.spotify.com/artist/5YGY8feqx7naU7z4HrwZM6,24929006,84,['pop'],https://i.scdn.co/image/ab6761610000e5ebb4ba86c361191d48cbeb4b32
Coldplay,4gzpq5DPGxSnKTe4SA8HAU,https://open.spotify.com/artist/4gzpq5DPGxSnKTe4SA8HAU,54264946,92,"['permanent wave', 'pop']",https://i.scdn.co/image/ab6761610000e5eb1ba8fc5f5c73e7e9313cc6eb
Adele,4dpARuHxo51G3z768sgnrY,https://open.spotify.com/artist/4dpARuHxo51G3z768sgnrY,59650773,87,"['british soul', 'pop', 'pop soul', 'uk pop']",https://i.scdn.co/image/ab6761610000e5eb68f6e5892075d7f22615bd17
Sam Smith,2wY79sveU1sp5g7SokKOiI,https://open.spotify.com/artist/2wY79sveU1sp5g7SokKOiI,24507737,84,"['pop', 'uk pop']",https://i.scdn.co/image/ab6761610000e5ebf057d1dce23e7f4d5d0f32e5
Taylor Swift,06HL4z0CvFAxyc27GXpf02,https://open.spotify.com/artist/06HL4z0CvFAxyc27GXpf02,124518641,100,['pop'],https://i.scdn.co/image/ab6761610000e5ebe672b5f553298dcdccb0e676
Shawn Mendes,7n2wHs1TKAczGzO7Dd2rGr,https://open.spotify.com/artist/7n2wHs1TKAczGzO7Dd2rGr,43502403,84,"['canadian pop', 'pop', 'viral pop']",https://i.scdn.co/image/ab6761610000e5ebd56712ef06c48938329731e1
Dua Lipa,6M2wZ9GZgrQXHCFfjv46we,https://open.spotify.com/artist/6M2wZ9GZgrQXHCFfjv46we,44891435,88,"['dance pop', 'pop', 'uk pop']",https://i.scdn.co/image/ab6761610000e5eb0c68f6c95232e716f0abee8d
Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,https://open.spotify.com/artist/6eUKZXaKkcviH0Ku9w2n3V,116764798,89,"['pop', 'singer-songwriter pop', 'uk pop']",https://i.scdn.co/image/ab6761610000e5eb784daff754ecfe0464ddbeb9
Stephen Sanchez,5XKFrudbV4IiuE5WuTPRmT,https://open.spotify.com/artist/5XKFrudbV4IiuE5WuTPRmT,1578449,76,['gen z singer-songwriter'],https://i.scdn.co/image/ab6761610000e5eb1e97fce6fa6fc4ebc3ebda25
Conan Gray,4Uc8Dsxct0oMqx0P6i60ea,https://open.spotify.com/artist/4Uc8Dsxct0oMqx0P6i60ea,10292249,80,"['bedroom pop', 'pop', 'pov: indie']",https://i.scdn.co/image/ab6761610000e5ebcc2d67917c6dc6cdfd009964
Zendaya,6sCbFbEjbYepqswM1vWjjs,https://open.spotify.com/artist/6sCbFbEjbYepqswM1vWjjs,4872421,71,"['pop', 'post-teen pop']",https://i.scdn.co/image/fba29219867535aaed72b65c2cb363040cb98103
Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,https://open.spotify.com/artist/6qqNVTkY8uBg9cP3Jd7DAH,101256898,96,"['art pop', 'pop']",https://i.scdn.co/image/ab6761610000e5eb4a21b4760d2ecb7b0dcdc8da
Ashe,6P5NO5hzJbuOqSdyPB7SJM,https://open.spotify.com/artist/6P5NO5hzJbuOqSdyPB7SJM,1699277,70,['alt z'],https://i.scdn.co/image/ab6761610000e5ebb050124f9b78ef36d375cdbb
Niall Horan,1Hsdzj7Dlq2I7tHP7501T4,https://open.spotify.com/artist/1Hsdzj7Dlq2I7tHP7501T4,9964927,77,['pop'],https://i.scdn.co/image/ab6761610000e5ebeccc1cde8e9fdcf1c9289897
Vance Joy,10exVja0key0uqUkk6LJRT,https://open.spotify.com/artist/10exVja0key0uqUkk6LJRT,3182975,78,"['folk-pop', 'modern rock']",https://i.scdn.co/image/ab6761610000e5eb8f074ec8c25406680bf26422
Bruno Mars,0du5cEVh5yTK9QJze8zA0C,https://open.spotify.com/artist/0du5cEVh5yTK9QJze8zA0C,60992125,95,"['dance pop', 'pop']",https://i.scdn.co/image/ab6761610000e5ebc36dd9eb55fb0db4911f25dd
Selena Gomez,0C8ZW7ezQVs4URX5aX7Kqx,https://open.spotify.com/artist/0C8ZW7ezQVs4URX5aX7Kqx,51012644,83,"['pop', 'post-teen pop']",https://i.scdn.co/image/ab6761610000e5ebc3c753851496854e29abff7a
Lorde,163tK9Wjr9P9DmM0AVK7lm,https://open.spotify.com/artist/163tK9Wjr9P9DmM0AVK7lm,10070614,78,"['art pop', 'metropopolis', 'nz pop', 'pop']",https://i.scdn.co/image/ab6761610000e5ebc4902f080d3620b3e6da80c3
Labrinth,2feDdbD5araYcm6JhFHHw7,https://open.spotify.com/artist/2feDdbD5araYcm6JhFHHw7,3348467,78,"['indie poptimism', 'pop']",https://i.scdn.co/image/ab6761610000e5eb7885d725841e0338092f5f6f
