artista,id_artista,album,id_album,lancamento,musica,id_musica,popularidade,preview_url,imagem
Harry Styles,6KImCVD70vtIoJWnq6nGn3,Harry's House,5r36AJ6VOJtp00oxSkBZ5h,2022-05-20,As It Was,4Dvkj6JhhA12EX05fT7y2e,87,https://p.scdn.co/mp3-preview/c43dd07043b29e800c1a65b3a0102861fa3cf418?cid=55d61e8e4d514773855f892a1c07883a,https://i.scdn.co/image/ab67616d0000b2732e8ed79e177ff6011076f5f0
Harry Styles,6KImCVD70vtIoJWnq6nGn3,Fine Line,7xV2TzoaVc0ycW7fwBwAml,2019-12-13,Watermelon Sugar,6UelLqGlWMcVH1E5c4H7lY,82,https://p.scdn.co/mp3-preview/824cd58da2e9a15eeaaa6746becc09093547a09b?cid=55d61e8e4d514773855f892a1c07883a,https://i.scdn.co/image/ab67616d0000b27377fdcfda6535601aff081b6a
Harry Styles,6KImCVD70vtIoJWnq6nGn3,Harry Styles,1FZKIm3JVDCxTchXDo5jOV,2017-05-12,Sign of the Times,5Ohxk2dO5COHF1krpoPigN,81,https://p.scdn.co/mp3-preview/3f885fdef493aadb403fc2657a605d2f5623b111?cid=55d61e8e4d514773855f892a1c07883a,https://i.scdn.co/image/ab67616d0000b2736c619c39c853f8b1d67b7859
Harry Styles,6KImCVD70vtIoJWnq6nGn3,Fine Line,7xV2TzoaVc0ycW7fwBwAml,2019-12-13,Adore You,3jjujdWJ72nww5eGnfs2E7,79,https://p.scdn.co/mp3-preview/a42d5e9f6f5c3375db9723bb2356239351eead31?cid=55d61e8e4d514773855f892a1c07883a,https://i.scdn.co/image/ab67616d0000b27377fdcfda6535601aff081b6a
Harry Styles,6KImCVD70vtIoJWnq6nGn3,Fine Line,7xV2TzoaVc0ycW7fwBwAml,2019-12-13,Falling,1ZMiCix7XSAbfAJlEZWMCp,79,https://p.scdn.co/mp3-preview/8d18a1a78e59131bf03cba65d124f803f5834ef6?cid=55d61e8e4d514773855f892a1c07883a,https://i.scdn.co/image/ab67616d0000b27377fdcfda6535601aff081b6a
Harry Styles,6KImCVD70vtIoJWnq6nGn3,Harry's House,5r36AJ6VOJtp00oxSkBZ5h,2022-05-20,Late Night Talking,1qEmFfgcLObUfQm0j1W2CK,77,https://p.scdn.co/mp3-preview/50f056e2ab4a1bef762661dbbf2da751beeffe39?cid=55d61e8e4d514773855f892a1c07883a,https://i.scdn.co/image/ab67616d0000b2732e8ed79e177ff6011076f5f0
Harry Styles,6KImCVD70vtIoJWnq6nGn3,Fine Line,7xV2TzoaVc0ycW7fwBwAml,2019-12-13,Fine Line,6VzcQuzTNTMFnJ6rBSaLH9,76,https://p.scdn.co/mp3-preview/c9fafe76cd154492e0a5db25b813c4c399745eaa?cid=55d61e8e4d514773855f892a1c07883a,https://i.scdn.co/image/ab67616d0000b27377fdcfda6535601aff081b6a
Harry Styles,6KImCVD70vtIoJWnq6nGn3,Harry's House,5r36AJ6VOJtp00oxSkBZ5h,2022-05-20,Matilda,6uvh0In7u1Xn4HgxOfAn8O,76,https://p.scdn.co/mp3-preview/f2b98f3f2c3813405ee9bd48cad2f9d8e50f4607?cid=55d61e8e4d514773855f892a1c07883a,https://i.scdn.co/image/ab67616d0000b2732e8ed79e177ff6011076f5f0
Harry Styles,6KImCVD70vtIoJWnq6nGn3,Fine Line,7xV2TzoaVc0ycW7fwBwAml,2019-12-13,Golden,45S5WTQEGOB1VHr1Q4FuPl,73,https://p.scdn.co/mp3-preview/9f9a006b49587b8a7a916ea098af0a465e9a5da0?cid=55d61e8e4d514773855f892a1c07883a,https://i.scdn.co/image/ab67616d0000b27377fdcfda6535601aff081b6a
Harry Styles,6KImCVD70vtIoJWnq6nGn3,Harry's House,5r36AJ6VOJtp00oxSkBZ5h,2022-05-20,Satellite,0rzaRSujxA0bKyjJl6vHYq,72,https://p.scdn.co/mp3-preview/cff61b71737a5d6389666dde5d14a2d76e04fe7b?cid=55d61e8e4d514773855f892a1c07883a,https://i.scdn.co/image/ab67616d0000b2732e8ed79e177ff6011076f5f0
